,0,1
0,mean_train_score,"[0.21804835 0.25932967 0.21027528 0.22420275 0.17258287 0.17258287
 0.17258287 0.17258287 0.17258287 0.17258287 0.33196445 0.33970844
 0.30471799 0.30356251 0.19751349 0.19751349 0.19751349 0.19751349
 0.17258287 0.19751349]"
1,mean_fit_time,"[16.37069853 16.78788145 16.75848651 16.90938139 16.95716826 16.46971639
 16.35186728 16.19165738 14.09854356 15.30881222 15.2523183  15.02728232
 14.74269001 14.94565582 14.55045406 14.52867587 10.55131515 10.27992312
  9.64131419 10.0835019 ]"
2,split2_test_score,"[0.19754824 0.19754824 0.19754824 0.19754824 0.19754824 0.19754824
 0.19754824 0.19754824 0.19754824 0.19754824 0.259431   0.31568056
 0.20298401 0.21924098 0.19754824 0.19754824 0.19754824 0.19754824
 0.19754824 0.19754824]"
3,param_clf__penalty,"['l1' 'l1' 'l1' 'l1' 'l1' 'l1' 'l1' 'l1' 'l1' 'l1' 'l2' 'l2' 'l2' 'l2'
 'l2' 'l2' 'l2' 'l2' 'l2' 'l2']"
4,std_score_time,"[0.17788291 0.14214964 0.40216308 0.08950611 0.23551414 0.10040576
 0.03682662 0.07517391 0.04855646 0.15450691 0.32980349 0.11305327
 0.36800931 0.03254465 0.38007385 0.12654548 0.10154549 0.04795535
 0.01110734 0.05261387]"
5,param_gauss__gamma,"[1.0 1.0 0.1 0.1 0.001 0.001 0.0001 0.0001 1e-05 1e-05 1.0 1.0 0.1 0.1
 0.001 0.001 0.0001 0.0001 1e-05 1e-05]"
6,std_test_score,"[2.16560329e-02 3.89814068e-02 1.53443570e-02 2.24326477e-02
 3.52509741e-02 3.52509741e-02 3.52509741e-02 3.52509741e-02
 3.52509741e-02 3.52509741e-02 3.20899669e-02 4.40960389e-03
 5.58310539e-02 4.67143140e-02 2.83724644e-05 2.83724644e-05
 2.83724644e-05 2.83724644e-05 3.52509741e-02 2.83724644e-05]"
7,mean_score_time,"[5.16776419 5.47961307 5.90574789 5.53339728 5.9551936  5.52954459
 5.64680378 5.60174704 6.01214345 5.41198436 5.69938302 5.3178134
 5.69919189 5.22142188 5.43841378 5.53410586 3.01408235 2.86694018
 2.95308598 2.90870388]"
8,param_tfidf__binary,"[True False True False True False True False True False True False True
 False True False True False True False]"
9,params,"({'tfidf__binary': True, 'gauss__gamma': 1.0, 'clf__penalty': 'l1'}, {'tfidf__binary': False, 'gauss__gamma': 1.0, 'clf__penalty': 'l1'}, {'tfidf__binary': True, 'gauss__gamma': 0.1, 'clf__penalty': 'l1'}, {'tfidf__binary': False, 'gauss__gamma': 0.1, 'clf__penalty': 'l1'}, {'tfidf__binary': True, 'gauss__gamma': 0.001, 'clf__penalty': 'l1'}, {'tfidf__binary': False, 'gauss__gamma': 0.001, 'clf__penalty': 'l1'}, {'tfidf__binary': True, 'gauss__gamma': 0.0001, 'clf__penalty': 'l1'}, {'tfidf__binary': False, 'gauss__gamma': 0.0001, 'clf__penalty': 'l1'}, {'tfidf__binary': True, 'gauss__gamma': 1e-05, 'clf__penalty': 'l1'}, {'tfidf__binary': False, 'gauss__gamma': 1e-05, 'clf__penalty': 'l1'}, {'tfidf__binary': True, 'gauss__gamma': 1.0, 'clf__penalty': 'l2'}, {'tfidf__binary': False, 'gauss__gamma': 1.0, 'clf__penalty': 'l2'}, {'tfidf__binary': True, 'gauss__gamma': 0.1, 'clf__penalty': 'l2'}, {'tfidf__binary': False, 'gauss__gamma': 0.1, 'clf__penalty': 'l2'}, {'tfidf__binary': True, 'gauss__gamma': 0.001, 'clf__penalty': 'l2'}, {'tfidf__binary': False, 'gauss__gamma': 0.001, 'clf__penalty': 'l2'}, {'tfidf__binary': True, 'gauss__gamma': 0.0001, 'clf__penalty': 'l2'}, {'tfidf__binary': False, 'gauss__gamma': 0.0001, 'clf__penalty': 'l2'}, {'tfidf__binary': True, 'gauss__gamma': 1e-05, 'clf__penalty': 'l2'}, {'tfidf__binary': False, 'gauss__gamma': 1e-05, 'clf__penalty': 'l2'})"
10,split0_test_score,"[0.24629251 0.25055261 0.23007911 0.25072665 0.12275693 0.12275693
 0.12275693 0.12275693 0.12275693 0.12275693 0.33203038 0.32559197
 0.33310514 0.31851541 0.19747875 0.19747875 0.19747875 0.19747875
 0.12275693 0.19747875]"
11,split1_test_score,"[0.20380399 0.29283843 0.19751349 0.21216289 0.19751349 0.19751349
 0.19751349 0.19751349 0.19751349 0.19751349 0.32183469 0.31691948
 0.30450739 0.31817006 0.19751349 0.19751349 0.19751349 0.19751349
 0.19751349 0.19751349]"
12,std_fit_time,"[0.13785937 0.34292498 0.08296614 0.07687033 0.03495662 0.14085782
 0.1826654  0.11944035 0.16665051 0.14041416 0.40413433 0.13671301
 0.18770336 0.03907532 0.35569195 0.21357178 0.15285591 0.9931197
 0.31349646 0.79302231]"
13,std_train_score,"[2.56526998e-02 4.82429162e-02 1.80356274e-02 2.50737105e-02
 3.52449291e-02 3.52449291e-02 3.52449291e-02 3.52449291e-02
 3.52449291e-02 3.52449291e-02 3.89862775e-02 1.53260766e-02
 6.95597280e-02 5.60364642e-02 1.41862323e-05 1.41862323e-05
 1.41862323e-05 1.41862323e-05 3.52449291e-02 1.41862323e-05]"
14,split0_train_score,"[0.25421453 0.26527592 0.2357815  0.25775763 0.12273902 0.12273902
 0.12273902 0.12273902 0.12273902 0.12273902 0.36067946 0.34242168
 0.37298617 0.34393954 0.19753086 0.19753086 0.19753086 0.19753086
 0.12273902 0.19753086]"
15,mean_test_score,"[0.21588564 0.24698418 0.20838299 0.22015036 0.17259999 0.17259999
 0.17259999 0.17259999 0.17259999 0.17259999 0.30443807 0.31939817
 0.28020969 0.28531709 0.19751349 0.19751349 0.19751349 0.19751349
 0.17259999 0.19751349]"
16,rank_test_score,[ 7  5  8  6 14 14 14 14 14 14  2  1  4  3  9  9  9  9 14  9]
17,split2_train_score,"[0.19749612 0.19749612 0.19749612 0.19749612 0.19749612 0.19749612
 0.19749612 0.19749612 0.19749612 0.19749612 0.27684568 0.31972894
 0.20924529 0.22431979 0.19749612 0.19749612 0.19749612 0.19749612
 0.19749612 0.19749612]"
18,split1_train_score,"[0.20243439 0.31521697 0.19754824 0.21735449 0.19751349 0.19751349
 0.19751349 0.19751349 0.19751349 0.19751349 0.35836821 0.3569747
 0.33192251 0.3424282  0.19751349 0.19751349 0.19751349 0.19751349
 0.19751349 0.19751349]"
