,0,1
0,param_tfidf__binary,"[True False True False True False True False True False True False True
 False True False True False True False True False]"
1,param_clf__C,"[0.001 0.001 0.01 0.01 0.1 0.1 1.0 1.0 5.0 5.0 10.0 10.0 50.0 50.0 100.0
 100.0 200.0 200.0 300.0 300.0 500.0 500.0]"
2,split2_train_score,"[0.20347916 0.19877701 0.60832945 0.55134914 0.88583493 0.848287
 0.99289713 0.99227701 0.99231915 0.99302537 0.99231915 0.99302537
 0.99231915 0.99302537 0.99231915 0.99302537 0.99159954 0.99119473
 0.99159954 0.99119473 0.99159954 0.99119473]"
3,params,"({'tfidf__binary': True, 'clf__C': 0.001}, {'tfidf__binary': False, 'clf__C': 0.001}, {'tfidf__binary': True, 'clf__C': 0.01}, {'tfidf__binary': False, 'clf__C': 0.01}, {'tfidf__binary': True, 'clf__C': 0.1}, {'tfidf__binary': False, 'clf__C': 0.1}, {'tfidf__binary': True, 'clf__C': 1.0}, {'tfidf__binary': False, 'clf__C': 1.0}, {'tfidf__binary': True, 'clf__C': 5.0}, {'tfidf__binary': False, 'clf__C': 5.0}, {'tfidf__binary': True, 'clf__C': 10.0}, {'tfidf__binary': False, 'clf__C': 10.0}, {'tfidf__binary': True, 'clf__C': 50.0}, {'tfidf__binary': False, 'clf__C': 50.0}, {'tfidf__binary': True, 'clf__C': 100.0}, {'tfidf__binary': False, 'clf__C': 100.0}, {'tfidf__binary': True, 'clf__C': 200.0}, {'tfidf__binary': False, 'clf__C': 200.0}, {'tfidf__binary': True, 'clf__C': 300.0}, {'tfidf__binary': False, 'clf__C': 300.0}, {'tfidf__binary': True, 'clf__C': 500.0}, {'tfidf__binary': False, 'clf__C': 500.0})"
4,std_train_score,"[0.00071207 0.00061451 0.00149729 0.01350174 0.00582343 0.00963796
 0.00047555 0.00048402 0.00085272 0.00083436 0.00085272 0.00083436
 0.00085272 0.00083436 0.00085272 0.00083436 0.00052626 0.0006107
 0.00052626 0.0006107  0.00052626 0.0006107 ]"
5,mean_test_score,"[0.20255676 0.1981815  0.44073681 0.42673116 0.52775326 0.52453643
 0.52395208 0.52665146 0.52654497 0.52476235 0.52654497 0.52476235
 0.52654497 0.52476235 0.52654497 0.52476235 0.52211664 0.5196047
 0.52211664 0.5196047  0.52211664 0.5196047 ]"
6,std_test_score,"[0.00095472 0.00094514 0.00580087 0.012017   0.01292772 0.01524836
 0.00488032 0.00444524 0.00510415 0.00959753 0.00510415 0.00959753
 0.00510415 0.00959753 0.00510415 0.00959753 0.00345927 0.00354147
 0.00345927 0.00354147 0.00345927 0.00354147]"
7,mean_train_score,"[0.20272925 0.19862008 0.61000969 0.5358386  0.87761991 0.83465687
 0.99321691 0.99243918 0.99301777 0.99289722 0.99301777 0.99289722
 0.99301777 0.99289722 0.99301777 0.99289722 0.99233846 0.991877
 0.99233846 0.991877   0.99233846 0.991877  ]"
8,std_score_time,"[0.0088902  0.04033739 0.02101113 0.04110877 0.00515226 0.04050305
 0.03744087 0.02047361 0.00485957 0.02171901 0.0495658  0.02052213
 0.03555033 0.1465028  0.09167697 0.03885277 1.21369406 1.3352549
 1.6166093  1.55505386 1.53464045 1.73284821]"
9,split1_train_score,"[0.20293635 0.19928186 0.61196578 0.53772766 0.87401595 0.82785571
 0.99388917 0.99309619 0.99421834 0.99384898 0.99421834 0.99384898
 0.99421834 0.99384898 0.99421834 0.99384898 0.99278485 0.99267673
 0.99278485 0.99267673 0.99278485 0.99267673]"
10,split0_train_score,"[0.20177224 0.19780136 0.60973384 0.518439   0.87300884 0.82782791
 0.99286442 0.99194435 0.99251582 0.99181731 0.99251582 0.99181731
 0.99251582 0.99181731 0.99251582 0.99181731 0.99263098 0.99175954
 0.99263098 0.99175954 0.99263098 0.99175954]"
