,0,1
0,rank_test_score,"[81 81 81 81 87 85 87 85 73 73 73 73 77 79 77 79 13 13 13 13 11  1 11  1
 49 49 49 49 57 61 57 61 45 45 45 45 35 69 35 69 41 41 41 41  9 53  9 53
 17 17 17 17  5  3  5  3 37 37 37 37 31 33 31 33 63 63 63 63 59 67 59 67
 27 27 27 27 55 71 55 71 23 23 23 23  7 21  7 21]"
1,split1_train_score,"[0.20293635 0.20293635 0.20293635 0.20293635 0.19751349 0.19877742
 0.19751349 0.19877742 0.61301584 0.61301584 0.61301584 0.61301584
 0.60544857 0.53864681 0.60544857 0.53864681 0.87173991 0.87173991
 0.87173991 0.87173991 0.8536568  0.82472478 0.8536568  0.82472478
 0.99334037 0.99334037 0.99334037 0.99334037 0.99308047 0.99249415
 0.99308047 0.99249415 0.99324785 0.99324785 0.99324785 0.99324785
 0.99335723 0.99340716 0.99335723 0.99340716 0.99368061 0.99368061
 0.99368061 0.99368061 0.99368061 0.99353939 0.99368061 0.99353939
 0.99366461 0.99366461 0.99366461 0.99366461 0.99351582 0.99368139
 0.99351582 0.99368139 0.9933993  0.9933993  0.9933993  0.9933993
 0.9934092  0.99367518 0.9934092  0.99367518 0.99299647 0.99299647
 0.99299647 0.99299647 0.99299437 0.99259058 0.99299437 0.99259058
 0.99346172 0.99346172 0.99346172 0.99346172 0.99210661 0.99203604
 0.99210661 0.99203604 0.99421586 0.99421586 0.99421586 0.99421586
 0.99421527 0.9939326  0.99421527 0.9939326 ]"
2,split1_test_score,"[0.20329698 0.20329698 0.20329698 0.20329698 0.19751349 0.19901423
 0.19751349 0.19901423 0.43938481 0.43938481 0.43938481 0.43938481
 0.4408922  0.42540957 0.4408922  0.42540957 0.51778559 0.51778559
 0.51778559 0.51778559 0.51625425 0.51761106 0.51625425 0.51761106
 0.51906966 0.51906966 0.51906966 0.51906966 0.52347303 0.52387933
 0.52347303 0.52387933 0.5258136  0.5258136  0.5258136  0.5258136
 0.52792856 0.52136766 0.52792856 0.52136766 0.51950582 0.51950582
 0.51950582 0.51950582 0.52977471 0.52054453 0.52977471 0.52054453
 0.52683327 0.52683327 0.52683327 0.52683327 0.52687019 0.52334165
 0.52687019 0.52334165 0.52259492 0.52259492 0.52259492 0.52259492
 0.52729148 0.52135941 0.52729148 0.52135941 0.52419264 0.52419264
 0.52419264 0.52419264 0.52293712 0.52400415 0.52293712 0.52400415
 0.52334143 0.52334143 0.52334143 0.52334143 0.52318137 0.51729542
 0.52318137 0.51729542 0.52514312 0.52514312 0.52514312 0.52514312
 0.5248415  0.52486612 0.5248415  0.52486612]"
3,param_tfidf__binary,"[True True True True False False False False True True True True False
 False False False True True True True False False False False True True
 True True False False False False True True True True False False False
 False True True True True False False False False True True True True
 False False False False True True True True False False False False True
 True True True False False False False True True True True False False
 False False True True True True False False False False]"
4,split0_test_score,"[0.20316431 0.20316431 0.20316431 0.20316431 0.19747875 0.19747875
 0.19747875 0.19747875 0.43914841 0.43914841 0.43914841 0.43914841
 0.43666828 0.42149568 0.43666828 0.42149568 0.52143772 0.52143772
 0.52143772 0.52143772 0.52143591 0.52663949 0.52143591 0.52663949
 0.52258239 0.52258239 0.52258239 0.52258239 0.52214783 0.52023609
 0.52214783 0.52023609 0.51898259 0.51898259 0.51898259 0.51898259
 0.52147291 0.51627544 0.52147291 0.51627544 0.52363177 0.52363177
 0.52363177 0.52363177 0.52485486 0.52078727 0.52485486 0.52078727
 0.52525404 0.52525404 0.52525404 0.52525404 0.52994434 0.53064356
 0.52994434 0.53064356 0.51918384 0.51918384 0.51918384 0.51918384
 0.51718961 0.51918567 0.51718961 0.51918567 0.51366904 0.51366904
 0.51366904 0.51366904 0.51577218 0.51520827 0.51577218 0.51520827
 0.52507339 0.52507339 0.52507339 0.52507339 0.52421972 0.52036117
 0.52421972 0.52036117 0.52003228 0.52003228 0.52003228 0.52003228
 0.52391838 0.52373573 0.52391838 0.52373573]"
5,mean_test_score,"[0.20255676 0.20255676 0.20255676 0.20255676 0.19752507 0.19801373
 0.19752507 0.19801373 0.43966312 0.43966312 0.43966312 0.43966312
 0.43964682 0.42545901 0.43964682 0.42545901 0.52646006 0.52646006
 0.52646006 0.52646006 0.52673862 0.52932517 0.52673862 0.52932517
 0.52394398 0.52394398 0.52394398 0.52394398 0.52338166 0.5227685
 0.52338166 0.5227685  0.5241191  0.5241191  0.5241191  0.5241191
 0.52513864 0.52129755 0.52513864 0.52129755 0.52475226 0.52475226
 0.52475226 0.52475226 0.52676597 0.52380286 0.52676597 0.52380286
 0.52630709 0.52630709 0.52630709 0.52630709 0.52825991 0.52904262
 0.52825991 0.52904262 0.52476884 0.52476884 0.52476884 0.52476884
 0.52569225 0.52561927 0.52569225 0.52561927 0.52255577 0.52255577
 0.52255577 0.52255577 0.52315645 0.52199941 0.52315645 0.52199941
 0.52575424 0.52575424 0.52575424 0.52575424 0.5234444  0.52066256
 0.5234444  0.52066256 0.52608783 0.52608783 0.52608783 0.52608783
 0.52743721 0.52615623 0.52743721 0.52615623]"
6,std_train_score,"[7.12069437e-04 7.12069437e-04 7.12069437e-04 7.12069437e-04
 1.41862323e-05 6.14337878e-04 1.41862323e-05 6.14337878e-04
 7.38328077e-03 7.38328077e-03 7.38328077e-03 7.38328077e-03
 7.20634931e-03 8.07528794e-03 7.20634931e-03 8.07528794e-03
 4.90947305e-03 4.90947305e-03 4.90947305e-03 4.90947305e-03
 3.93719737e-03 7.69574009e-03 3.93719737e-03 7.69574009e-03
 4.26196002e-04 4.26196002e-04 4.26196002e-04 4.26196002e-04
 4.34000595e-04 4.19177279e-04 4.34000595e-04 4.19177279e-04
 7.08999892e-04 7.08999892e-04 7.08999892e-04 7.08999892e-04
 7.34649255e-04 9.48348137e-04 7.34649255e-04 9.48348137e-04
 6.44538649e-04 6.44538649e-04 6.44538649e-04 6.44538649e-04
 7.48822370e-04 7.62689088e-04 7.48822370e-04 7.62689088e-04
 9.44044907e-04 9.44044907e-04 9.44044907e-04 9.44044907e-04
 1.04544399e-03 8.65278671e-04 1.04544399e-03 8.65278671e-04
 8.69672349e-04 8.69672349e-04 8.69672349e-04 8.69672349e-04
 8.89468751e-04 1.05634090e-03 8.89468751e-04 1.05634090e-03
 4.81220078e-04 4.81220078e-04 4.81220078e-04 4.81220078e-04
 5.77298553e-04 4.36544538e-04 5.77298553e-04 4.36544538e-04
 4.61368541e-04 4.61368541e-04 4.61368541e-04 4.61368541e-04
 1.29043108e-04 4.35636697e-04 1.29043108e-04 4.35636697e-04
 1.28550371e-03 1.28550371e-03 1.28550371e-03 1.28550371e-03
 9.61283232e-04 9.62306107e-04 9.61283232e-04 9.62306107e-04]"
7,mean_train_score,"[0.20272925 0.20272925 0.20272925 0.20272925 0.19751349 0.19862002
 0.19751349 0.19862002 0.60794127 0.60794127 0.60794127 0.60794127
 0.59783293 0.53041051 0.59783293 0.53041051 0.87609834 0.87609834
 0.87609834 0.87609834 0.859062   0.83559539 0.859062   0.83559539
 0.99273964 0.99273964 0.99273964 0.99273964 0.99249348 0.99196625
 0.99249348 0.99196625 0.99233482 0.99233482 0.99233482 0.99233482
 0.99232109 0.99208364 0.99232109 0.99208364 0.99277557 0.99277557
 0.99277557 0.99277557 0.99262314 0.99246346 0.99262314 0.99246346
 0.99245192 0.99245192 0.99245192 0.99245192 0.99216379 0.99253465
 0.99216379 0.99253465 0.9922089  0.9922089  0.9922089  0.9922089
 0.99215421 0.99240923 0.99215421 0.99240923 0.99232379 0.99232379
 0.99232379 0.99232379 0.99220044 0.99197457 0.99220044 0.99197457
 0.99282525 0.99282525 0.99282525 0.99282525 0.99220016 0.99184834
 0.99220016 0.99184834 0.99250959 0.99250959 0.99250959 0.99250959
 0.99293285 0.99268785 0.99293285 0.99268785]"
8,mean_score_time,"[4.36595583 4.30309526 4.37885976 4.25620596 4.34225543 4.24533979
 4.30057502 4.25382447 4.54719051 4.39396389 4.2970353  4.3013401
 4.38299195 4.32836374 4.3830835  4.32225323 4.64009905 4.32694952
 4.42272178 4.30726314 4.30382164 4.37752024 4.35632881 4.27463357
 4.58914733 4.51517598 4.39327184 4.2277809  4.5074834  4.3721443
 4.36905495 4.30929311 4.49864856 4.67006985 4.25039466 4.38606683
 4.41601769 4.28375832 4.4773016  4.37965496 4.513954   4.44504134
 4.40919209 4.30856546 4.35604167 4.32520938 4.34704987 4.3320268
 4.62845333 4.36321314 4.46126525 4.31030869 4.34223286 4.4150428
 4.38120906 4.29147061 4.63065203 4.41259384 4.50524124 4.36868326
 4.46233821 4.33780114 4.35349695 4.22903728 4.45217315 4.40310383
 4.4859647  4.49488298 4.55685369 4.31447268 4.39792037 4.22177291
 4.49713929 4.31329497 4.50551558 4.42604216 4.44090668 4.37621911
 4.33652854 4.31251526 4.56760263 4.36011895 4.50204341 4.4594326
 4.42429415 4.28772616 4.34596276 4.2582504 ]"
9,params,"({'clf__C': 0.001, 'tfidf__sublinear_tf': True, 'tfidf__binary': True, 'tfidf__stop_words': None}, {'clf__C': 0.001, 'tfidf__sublinear_tf': False, 'tfidf__binary': True, 'tfidf__stop_words': None}, {'clf__C': 0.001, 'tfidf__sublinear_tf': True, 'tfidf__binary': True, 'tfidf__stop_words': 'english'}, {'clf__C': 0.001, 'tfidf__sublinear_tf': False, 'tfidf__binary': True, 'tfidf__stop_words': 'english'}, {'clf__C': 0.001, 'tfidf__sublinear_tf': True, 'tfidf__binary': False, 'tfidf__stop_words': None}, {'clf__C': 0.001, 'tfidf__sublinear_tf': False, 'tfidf__binary': False, 'tfidf__stop_words': None}, {'clf__C': 0.001, 'tfidf__sublinear_tf': True, 'tfidf__binary': False, 'tfidf__stop_words': 'english'}, {'clf__C': 0.001, 'tfidf__sublinear_tf': False, 'tfidf__binary': False, 'tfidf__stop_words': 'english'}, {'clf__C': 0.01, 'tfidf__sublinear_tf': True, 'tfidf__binary': True, 'tfidf__stop_words': None}, {'clf__C': 0.01, 'tfidf__sublinear_tf': False, 'tfidf__binary': True, 'tfidf__stop_words': None}, {'clf__C': 0.01, 'tfidf__sublinear_tf': True, 'tfidf__binary': True, 'tfidf__stop_words': 'english'}, {'clf__C': 0.01, 'tfidf__sublinear_tf': False, 'tfidf__binary': True, 'tfidf__stop_words': 'english'}, {'clf__C': 0.01, 'tfidf__sublinear_tf': True, 'tfidf__binary': False, 'tfidf__stop_words': None}, {'clf__C': 0.01, 'tfidf__sublinear_tf': False, 'tfidf__binary': False, 'tfidf__stop_words': None}, {'clf__C': 0.01, 'tfidf__sublinear_tf': True, 'tfidf__binary': False, 'tfidf__stop_words': 'english'}, {'clf__C': 0.01, 'tfidf__sublinear_tf': False, 'tfidf__binary': False, 'tfidf__stop_words': 'english'}, {'clf__C': 0.1, 'tfidf__sublinear_tf': True, 'tfidf__binary': True, 'tfidf__stop_words': None}, {'clf__C': 0.1, 'tfidf__sublinear_tf': False, 'tfidf__binary': True, 'tfidf__stop_words': None}, {'clf__C': 0.1, 'tfidf__sublinear_tf': True, 'tfidf__binary': True, 'tfidf__stop_words': 'english'}, {'clf__C': 0.1, 'tfidf__sublinear_tf': False, 'tfidf__binary': True, 'tfidf__stop_words': 'english'}, {'clf__C': 0.1, 'tfidf__sublinear_tf': True, 'tfidf__binary': False, 'tfidf__stop_words': None}, {'clf__C': 0.1, 'tfidf__sublinear_tf': False, 'tfidf__binary': False, 'tfidf__stop_words': None}, {'clf__C': 0.1, 'tfidf__sublinear_tf': True, 'tfidf__binary': False, 'tfidf__stop_words': 'english'}, {'clf__C': 0.1, 'tfidf__sublinear_tf': False, 'tfidf__binary': False, 'tfidf__stop_words': 'english'}, {'clf__C': 1.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': True, 'tfidf__stop_words': None}, {'clf__C': 1.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': True, 'tfidf__stop_words': None}, {'clf__C': 1.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': True, 'tfidf__stop_words': 'english'}, {'clf__C': 1.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': True, 'tfidf__stop_words': 'english'}, {'clf__C': 1.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': False, 'tfidf__stop_words': None}, {'clf__C': 1.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': False, 'tfidf__stop_words': None}, {'clf__C': 1.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': False, 'tfidf__stop_words': 'english'}, {'clf__C': 1.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': False, 'tfidf__stop_words': 'english'}, {'clf__C': 5.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': True, 'tfidf__stop_words': None}, {'clf__C': 5.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': True, 'tfidf__stop_words': None}, {'clf__C': 5.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': True, 'tfidf__stop_words': 'english'}, {'clf__C': 5.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': True, 'tfidf__stop_words': 'english'}, {'clf__C': 5.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': False, 'tfidf__stop_words': None}, {'clf__C': 5.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': False, 'tfidf__stop_words': None}, {'clf__C': 5.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': False, 'tfidf__stop_words': 'english'}, {'clf__C': 5.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': False, 'tfidf__stop_words': 'english'}, {'clf__C': 10.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': True, 'tfidf__stop_words': None}, {'clf__C': 10.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': True, 'tfidf__stop_words': None}, {'clf__C': 10.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': True, 'tfidf__stop_words': 'english'}, {'clf__C': 10.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': True, 'tfidf__stop_words': 'english'}, {'clf__C': 10.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': False, 'tfidf__stop_words': None}, {'clf__C': 10.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': False, 'tfidf__stop_words': None}, {'clf__C': 10.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': False, 'tfidf__stop_words': 'english'}, {'clf__C': 10.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': False, 'tfidf__stop_words': 'english'}, {'clf__C': 50.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': True, 'tfidf__stop_words': None}, {'clf__C': 50.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': True, 'tfidf__stop_words': None}, {'clf__C': 50.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': True, 'tfidf__stop_words': 'english'}, {'clf__C': 50.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': True, 'tfidf__stop_words': 'english'}, {'clf__C': 50.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': False, 'tfidf__stop_words': None}, {'clf__C': 50.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': False, 'tfidf__stop_words': None}, {'clf__C': 50.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': False, 'tfidf__stop_words': 'english'}, {'clf__C': 50.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': False, 'tfidf__stop_words': 'english'}, {'clf__C': 100.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': True, 'tfidf__stop_words': None}, {'clf__C': 100.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': True, 'tfidf__stop_words': None}, {'clf__C': 100.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': True, 'tfidf__stop_words': 'english'}, {'clf__C': 100.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': True, 'tfidf__stop_words': 'english'}, {'clf__C': 100.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': False, 'tfidf__stop_words': None}, {'clf__C': 100.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': False, 'tfidf__stop_words': None}, {'clf__C': 100.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': False, 'tfidf__stop_words': 'english'}, {'clf__C': 100.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': False, 'tfidf__stop_words': 'english'}, {'clf__C': 200.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': True, 'tfidf__stop_words': None}, {'clf__C': 200.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': True, 'tfidf__stop_words': None}, {'clf__C': 200.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': True, 'tfidf__stop_words': 'english'}, {'clf__C': 200.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': True, 'tfidf__stop_words': 'english'}, {'clf__C': 200.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': False, 'tfidf__stop_words': None}, {'clf__C': 200.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': False, 'tfidf__stop_words': None}, {'clf__C': 200.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': False, 'tfidf__stop_words': 'english'}, {'clf__C': 200.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': False, 'tfidf__stop_words': 'english'}, {'clf__C': 300.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': True, 'tfidf__stop_words': None}, {'clf__C': 300.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': True, 'tfidf__stop_words': None}, {'clf__C': 300.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': True, 'tfidf__stop_words': 'english'}, {'clf__C': 300.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': True, 'tfidf__stop_words': 'english'}, {'clf__C': 300.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': False, 'tfidf__stop_words': None}, {'clf__C': 300.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': False, 'tfidf__stop_words': None}, {'clf__C': 300.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': False, 'tfidf__stop_words': 'english'}, {'clf__C': 300.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': False, 'tfidf__stop_words': 'english'}, {'clf__C': 500.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': True, 'tfidf__stop_words': None}, {'clf__C': 500.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': True, 'tfidf__stop_words': None}, {'clf__C': 500.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': True, 'tfidf__stop_words': 'english'}, {'clf__C': 500.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': True, 'tfidf__stop_words': 'english'}, {'clf__C': 500.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': False, 'tfidf__stop_words': None}, {'clf__C': 500.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': False, 'tfidf__stop_words': None}, {'clf__C': 500.0, 'tfidf__sublinear_tf': True, 'tfidf__binary': False, 'tfidf__stop_words': 'english'}, {'clf__C': 500.0, 'tfidf__sublinear_tf': False, 'tfidf__binary': False, 'tfidf__stop_words': 'english'})"
