,0,1
0,split2_test_score,"[0.20120851 0.20120851 0.20120851 0.20120851 0.19758301 0.19754824
 0.19758301 0.19754824 0.44765809 0.44765809 0.44765809 0.44765809
 0.44695986 0.43173655 0.44695986 0.43173655 0.53714033 0.53714033
 0.53714033 0.53714033 0.53720341 0.53510773 0.53720341 0.53510773
 0.52988552 0.52988552 0.52988552 0.52988552 0.53022401 0.52881686
 0.53022401 0.52881686 0.53259592 0.53259592 0.53259592 0.53259592
 0.53044574 0.53649525 0.53044574 0.53649525 0.5272856  0.5272856
 0.5272856  0.5272856  0.52826036 0.52546124 0.52826036 0.52546124
 0.5284832  0.5284832  0.5284832  0.5284832  0.52453422 0.52794655
 0.52453422 0.52794655 0.53193872 0.53193872 0.53193872 0.53193872
 0.52937581 0.52423207 0.52937581 0.52423207 0.53387743 0.53387743
 0.53387743 0.53387743 0.52943544 0.52956082 0.52943544 0.52956082
 0.53134715 0.53134715 0.53134715 0.53134715 0.52650768 0.53123404
 0.52650768 0.53123404 0.52907443 0.52907443 0.52907443 0.52907443
 0.52856125 0.53108501 0.52856125 0.53108501]"
1,mean_score_time,"[4.31274732 4.25336417 4.33729013 4.2551407  4.34030104 4.25478808
 4.31652602 4.26781336 4.49833965 4.3575956  4.50645097 4.38522768
 4.35348455 4.28024499 4.39719137 4.27843451 4.63075121 4.45933231
 4.50858561 4.36108645 4.37223911 4.31461994 4.42930381 4.20328323
 4.68395996 4.45208891 4.52248073 4.41448291 4.49469002 4.26796269
 4.39621687 4.25578205 4.66049894 4.48966742 4.44957074 4.38149412
 4.38470856 4.25971421 4.46461527 4.21442827 4.5786922  4.49322637
 4.49686925 4.30884274 4.38705063 4.30581729 4.36606971 4.36301096
 4.65137704 4.47708011 4.57354712 4.54585218 4.41280794 4.36213581
 4.39438661 4.31790948 4.43754061 4.50695014 4.55519215 4.47473971
 4.43853418 4.3732396  4.50015791 4.2802732  4.46228464 4.52166637
 4.45762388 4.48886657 4.47377936 4.37020055 4.43894053 4.32437277
 4.42993466 4.37747773 4.47092414 4.37082752 4.3883423  4.36140021
 4.34320052 4.34881353 4.33336496 4.41549762 4.47451536 4.33694537
 4.37810763 4.39130044 4.49420404 4.34911942]"
2,std_train_score,"[7.12069437e-04 7.12069437e-04 7.12069437e-04 7.12069437e-04
 1.41862323e-05 6.46553393e-04 1.41862323e-05 6.46553393e-04
 3.21318567e-03 3.21318567e-03 3.21318567e-03 3.21318567e-03
 5.14908763e-03 4.82928612e-03 5.14908763e-03 4.82928612e-03
 6.67559832e-03 6.67559832e-03 6.67559832e-03 6.67559832e-03
 5.77189611e-03 4.36066567e-03 5.77189611e-03 4.36066567e-03
 4.56493205e-04 4.56493205e-04 4.56493205e-04 4.56493205e-04
 4.38682285e-04 3.29821273e-04 4.38682285e-04 3.29821273e-04
 4.71039707e-04 4.71039707e-04 4.71039707e-04 4.71039707e-04
 6.01246453e-04 6.90207621e-04 6.01246453e-04 6.90207621e-04
 6.74771100e-04 6.74771100e-04 6.74771100e-04 6.74771100e-04
 5.07296894e-04 7.47703295e-04 5.07296894e-04 7.47703295e-04
 7.31664072e-04 7.31664072e-04 7.31664072e-04 7.31664072e-04
 7.70395698e-04 6.15386479e-04 7.70395698e-04 6.15386479e-04
 1.00198684e-03 1.00198684e-03 1.00198684e-03 1.00198684e-03
 9.85813278e-04 1.11935437e-03 9.85813278e-04 1.11935437e-03
 7.41423123e-04 7.41423123e-04 7.41423123e-04 7.41423123e-04
 6.75389634e-04 7.90936482e-04 6.75389634e-04 7.90936482e-04
 5.03522379e-04 5.03522379e-04 5.03522379e-04 5.03522379e-04
 5.63829627e-04 6.21498760e-04 5.63829627e-04 6.21498760e-04
 6.90890036e-04 6.90890036e-04 6.90890036e-04 6.90890036e-04
 6.45776166e-04 7.94247493e-04 6.45776166e-04 7.94247493e-04]"
3,mean_test_score,"[0.20255676 0.20255676 0.20255676 0.20255676 0.19752507 0.19801373
 0.19752507 0.19801373 0.44005678 0.44005678 0.44005678 0.44005678
 0.43874757 0.4254855  0.43874757 0.4254855  0.52101683 0.52101683
 0.52101683 0.52101683 0.52136434 0.5230236  0.52136434 0.5230236
 0.52464045 0.52464045 0.52464045 0.52464045 0.52806007 0.52497464
 0.52806007 0.52497464 0.52483555 0.52483555 0.52483555 0.52483555
 0.52371231 0.52628195 0.52371231 0.52628195 0.52693785 0.52693785
 0.52693785 0.52693785 0.52385658 0.52503163 0.52385658 0.52503163
 0.52379359 0.52379359 0.52379359 0.52379359 0.52198437 0.52163606
 0.52198437 0.52163606 0.52437625 0.52437625 0.52437625 0.52437625
 0.525122   0.52015442 0.525122   0.52015442 0.52770036 0.52770036
 0.52770036 0.52770036 0.52646893 0.52524505 0.52646893 0.52524505
 0.52353133 0.52353133 0.52353133 0.52353133 0.52557076 0.52496146
 0.52557076 0.52496146 0.52541192 0.52541192 0.52541192 0.52541192
 0.52665106 0.52570778 0.52665106 0.52570778]"
4,std_score_time,"[0.02934237 0.04137143 0.02540335 0.03902141 0.03311447 0.04079588
 0.01755589 0.03259161 0.06130114 0.01128435 0.1038639  0.07554907
 0.05420972 0.0191798  0.03972029 0.13772333 0.0846068  0.05747901
 0.08424495 0.10435034 0.04623606 0.12116267 0.09880747 0.01245383
 0.05928978 0.09749806 0.10903347 0.10040368 0.07249205 0.03993633
 0.09579807 0.0664175  0.06630617 0.05612327 0.00555993 0.10263384
 0.13703362 0.01201082 0.12946213 0.02152312 0.07595598 0.06282269
 0.05553049 0.09994172 0.0158083  0.03083598 0.00744427 0.09290808
 0.16839078 0.16456161 0.08069833 0.12689166 0.08049369 0.11624844
 0.10116668 0.1372823  0.02652666 0.08247336 0.12993422 0.10403787
 0.08276697 0.13252797 0.13987744 0.09233226 0.01918259 0.08036661
 0.07962044 0.10450311 0.13473692 0.03187211 0.09420026 0.1068308
 0.03478447 0.14191476 0.016547   0.01057881 0.11754601 0.17467452
 0.0257978  0.0750975  0.0542618  0.08773265 0.0422281  0.05437392
 0.03792872 0.11493499 0.09088771 0.09554391]"
5,split0_test_score,"[0.20316431 0.20316431 0.20316431 0.20316431 0.19747875 0.19747875
 0.19747875 0.19747875 0.44308504 0.44308504 0.44308504 0.44308504
 0.44147105 0.42430428 0.44147105 0.42430428 0.51346201 0.51346201
 0.51346201 0.51346201 0.51300178 0.5164849  0.51300178 0.5164849
 0.52224728 0.52224728 0.52224728 0.52224728 0.52285217 0.52190366
 0.52285217 0.52190366 0.52100949 0.52100949 0.52100949 0.52100949
 0.51620642 0.51654627 0.51620642 0.51654627 0.52790434 0.52790434
 0.52790434 0.52790434 0.52179519 0.52409018 0.52179519 0.52409018
 0.51776405 0.51776405 0.51776405 0.51776405 0.5159526  0.51675515
 0.5159526  0.51675515 0.5201579  0.5201579  0.5201579  0.5201579
 0.52202255 0.51859637 0.52202255 0.51859637 0.52532046 0.52532046
 0.52532046 0.52532046 0.52436758 0.52089101 0.52436758 0.52089101
 0.51818096 0.51818096 0.51818096 0.51818096 0.52375025 0.51968919
 0.52375025 0.51968919 0.52349458 0.52349458 0.52349458 0.52349458
 0.52436947 0.52254023 0.52436947 0.52254023]"
6,std_fit_time,"[0.17447793 0.18317141 0.18917584 0.05675669 0.15768394 0.22906494
 0.08204173 0.27056027 0.146392   0.14417659 0.60646978 0.66178139
 0.04074016 0.55860911 0.0378663  0.55153501 0.69655076 0.76187492
 0.63925735 0.77395359 0.21013841 0.5667574  0.42636938 0.12366996
 1.10254494 0.15968891 0.70447678 0.7578484  0.6482289  0.16932196
 0.37356138 0.07853009 0.12246071 0.10643108 0.08072349 0.6201967
 0.49492306 0.25778881 0.52529102 0.24213756 0.04502504 0.19963877
 0.11796162 0.02023248 0.04310772 0.16307929 0.43616145 0.22753156
 0.63704418 0.58516903 0.00840252 0.57075242 0.12306765 0.52928578
 0.67059349 0.17129359 0.04393492 0.0965557  0.5662958  0.58166411
 0.08803955 0.43544865 0.5324849  0.29469102 0.00768017 0.02497473
 0.22998513 0.43928924 0.68911178 0.35665219 0.23037452 0.28440317
 0.01475905 0.03811172 0.15607085 0.04987802 0.52204378 0.09803
 0.34687496 0.1391004  0.04236149 0.03535322 0.14238039 0.16623801
 0.27533235 0.37066351 0.26182423 0.43644038]"
7,param_tfidf__binary,"[True True True True False False False False True True True True False
 False False False True True True True False False False False True True
 True True False False False False True True True True False False False
 False True True True True False False False False True True True True
 False False False False True True True True False False False False True
 True True True False False False False True True True True False False
 False False True True True True False False False False]"
8,split1_test_score,"[0.20329698 0.20329698 0.20329698 0.20329698 0.19751349 0.19901423
 0.19751349 0.19901423 0.42942835 0.42942835 0.42942835 0.42942835
 0.42781317 0.42041751 0.42781317 0.42041751 0.51245407 0.51245407
 0.51245407 0.51245407 0.51389387 0.51748282 0.51389387 0.51748282
 0.52179045 0.52179045 0.52179045 0.52179045 0.53110587 0.52420513
 0.53110587 0.52420513 0.52090415 0.52090415 0.52090415 0.52090415
 0.52448835 0.52580933 0.52448835 0.52580933 0.52562346 0.52562346
 0.52562346 0.52562346 0.52151581 0.5255438  0.52151581 0.5255438
 0.52513619 0.52513619 0.52513619 0.52513619 0.52546842 0.52020929
 0.52546842 0.52020929 0.52103507 0.52103507 0.52103507 0.52103507
 0.52396947 0.51763623 0.52396947 0.51763623 0.52390534 0.52390534
 0.52390534 0.52390534 0.52560504 0.5252855  0.52560504 0.5252855
 0.52106916 0.52106916 0.52106916 0.52106916 0.52645505 0.52396405
 0.52645505 0.52396405 0.52366815 0.52366815 0.52366815 0.52366815
 0.52702349 0.52350024 0.52702349 0.52350024]"
9,param_tfidf__stop_words,"[None None 'english' 'english' None None 'english' 'english' None None
 'english' 'english' None None 'english' 'english' None None 'english'
 'english' None None 'english' 'english' None None 'english' 'english'
 None None 'english' 'english' None None 'english' 'english' None None
 'english' 'english' None None 'english' 'english' None None 'english'
 'english' None None 'english' 'english' None None 'english' 'english'
 None None 'english' 'english' None None 'english' 'english' None None
 'english' 'english' None None 'english' 'english' None None 'english'
 'english' None None 'english' 'english' None None 'english' 'english'
 None None 'english' 'english']"
