,0,1
0,split0_test_score,"[ 0.19747875  0.19747875  0.19747875  0.19747875  0.19747875  0.19747875
  0.19747875  0.19747875  0.53199942  0.53199942  0.53199942  0.53199942
  0.19747875  0.19747875  0.19747875  0.19747875  0.19747875  0.19747875
  0.19747875  0.19747875  0.52110096  0.52110096  0.52110096  0.52110096
  0.19747875  0.19747875  0.19747875  0.19747875  0.19747875  0.19747875
  0.19747875  0.19747875  0.52082243  0.52082243  0.52082243  0.52082243
  0.19747875  0.19747875  0.19747875  0.19747875  0.19747875  0.19747875
  0.19747875  0.19747875  0.52294971  0.52294971  0.52294971  0.52294971
  0.19747875  0.19747875  0.19747875  0.19747875  0.19747875  0.19747875
  0.19747875  0.19747875  0.52041464  0.52041464  0.52041464  0.52041464
  0.19747875  0.19747875  0.19747875  0.19747875  0.19747875  0.19747875
  0.19747875  0.19747875  0.5198143   0.5198143   0.5198143   0.5198143
  0.19747875  0.19747875  0.19747875  0.19747875  0.19747875  0.19747875
  0.19747875  0.19747875  0.51838137  0.51838137  0.51838137  0.51838137
  0.19747875  0.19747875  0.19747875  0.19747875  0.19747875  0.19747875
  0.19747875  0.19747875  0.51957568  0.51957568  0.51957568  0.51957568
  0.19747875  0.19747875  0.19747875  0.19747875  0.19747875  0.19747875
  0.19747875  0.19747875  0.51957568  0.51957568  0.51957568  0.51957568]"
1,split1_test_score,"[ 0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.52744981  0.52744981  0.52744981  0.52744981
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.52916587  0.52916587  0.52916587  0.52916587
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.52931997  0.52931997  0.52931997  0.52931997
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.5276568   0.5276568   0.5276568   0.5276568
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.52657417  0.52657417  0.52657417  0.52657417
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.52671311  0.52671311  0.52671311  0.52671311
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.52544177  0.52544177  0.52544177  0.52544177
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.52570729  0.52570729  0.52570729  0.52570729
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.52570729  0.52570729  0.52570729  0.52570729]"
2,split2_test_score,"[ 0.19754824  0.19754824  0.19754824  0.19754824  0.19754824  0.19754824
  0.19754824  0.19754824  0.53491821  0.53491821  0.53491821  0.53491821
  0.19754824  0.19754824  0.19754824  0.19754824  0.19754824  0.19754824
  0.19754824  0.19754824  0.53319148  0.53319148  0.53319148  0.53319148
  0.19754824  0.19754824  0.19754824  0.19754824  0.19754824  0.19754824
  0.19754824  0.19754824  0.53341138  0.53341138  0.53341138  0.53341138
  0.19754824  0.19754824  0.19754824  0.19754824  0.19754824  0.19754824
  0.19754824  0.19754824  0.53392653  0.53392653  0.53392653  0.53392653
  0.19754824  0.19754824  0.19754824  0.19754824  0.19754824  0.19754824
  0.19754824  0.19754824  0.53384843  0.53384843  0.53384843  0.53384843
  0.19754824  0.19754824  0.19754824  0.19754824  0.19754824  0.19754824
  0.19754824  0.19754824  0.53386403  0.53386403  0.53386403  0.53386403
  0.19754824  0.19754824  0.19754824  0.19754824  0.19754824  0.19754824
  0.19754824  0.19754824  0.5303946   0.5303946   0.5303946   0.5303946
  0.19754824  0.19754824  0.19754824  0.19754824  0.19754824  0.19754824
  0.19754824  0.19754824  0.53206656  0.53206656  0.53206656  0.53206656
  0.19754824  0.19754824  0.19754824  0.19754824  0.19754824  0.19754824
  0.19754824  0.19754824  0.53120686  0.53120686  0.53120686  0.53120686]"
3,mean_test_score,"[ 0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.53145557  0.53145557  0.53145557  0.53145557
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.52781843  0.52781843  0.52781843  0.52781843
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.52785021  0.52785021  0.52785021  0.52785021
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.52817677  0.52817677  0.52817677  0.52817677
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.52694463  0.52694463  0.52694463  0.52694463
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.52679598  0.52679598  0.52679598  0.52679598
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.52473825  0.52473825  0.52473825  0.52473825
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.52578214  0.52578214  0.52578214  0.52578214
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.52549564  0.52549564  0.52549564  0.52549564]"
4,std_test_score,"[  2.83724644e-05   2.83724644e-05   2.83724644e-05   2.83724644e-05
   2.83724644e-05   2.83724644e-05   2.83724644e-05   2.83724644e-05
   3.07293807e-03   3.07293807e-03   3.07293807e-03   3.07293807e-03
   2.83724644e-05   2.83724644e-05   2.83724644e-05   2.83724644e-05
   2.83724644e-05   2.83724644e-05   2.83724644e-05   2.83724644e-05
   5.02704941e-03   5.02704941e-03   5.02704941e-03   5.02704941e-03
   2.83724644e-05   2.83724644e-05   2.83724644e-05   2.83724644e-05
   2.83724644e-05   2.83724644e-05   2.83724644e-05   2.83724644e-05
   5.24344388e-03   5.24344388e-03   5.24344388e-03   5.24344388e-03
   2.83724644e-05   2.83724644e-05   2.83724644e-05   2.83724644e-05
   2.83724644e-05   2.83724644e-05   2.83724644e-05   2.83724644e-05
   4.49632612e-03   4.49632612e-03   4.49632612e-03   4.49632612e-03
   2.83724644e-05   2.83724644e-05   2.83724644e-05   2.83724644e-05
   2.83724644e-05   2.83724644e-05   2.83724644e-05   2.83724644e-05
   5.49057488e-03   5.49057488e-03   5.49057488e-03   5.49057488e-03
   2.83724644e-05   2.83724644e-05   2.83724644e-05   2.83724644e-05
   2.83724644e-05   2.83724644e-05   2.83724644e-05   2.83724644e-05
   5.73607847e-03   5.73607847e-03   5.73607847e-03   5.73607847e-03
   2.83724644e-05   2.83724644e-05   2.83724644e-05   2.83724644e-05
   2.83724644e-05   2.83724644e-05   2.83724644e-05   2.83724644e-05
   4.92954538e-03   4.92954538e-03   4.92954538e-03   4.92954538e-03
   2.83724644e-05   2.83724644e-05   2.83724644e-05   2.83724644e-05
   2.83724644e-05   2.83724644e-05   2.83724644e-05   2.83724644e-05
   5.09965186e-03   5.09965186e-03   5.09965186e-03   5.09965186e-03
   2.83724644e-05   2.83724644e-05   2.83724644e-05   2.83724644e-05
   2.83724644e-05   2.83724644e-05   2.83724644e-05   2.83724644e-05
   4.75076651e-03   4.75076651e-03   4.75076651e-03   4.75076651e-03]"
5,rank_test_score,"[37 37 37 37 37 37 37 37  1  1  1  1 37 37 37 37 37 37 37 37 13 13 13 13 37
 37 37 37 37 37 37 37  9  9  9  9 37 37 37 37 37 37 37 37  5  5  5  5 37 37
 37 37 37 37 37 37 17 17 17 17 37 37 37 37 37 37 37 37 21 21 21 21 37 37 37
 37 37 37 37 37 33 33 33 33 37 37 37 37 37 37 37 37 25 25 25 25 37 37 37 37
 37 37 37 37 29 29 29 29]"
6,split0_train_score,"[ 0.19753086  0.19753086  0.19753086  0.19753086  0.19753086  0.19753086
  0.19753086  0.19753086  0.91682087  0.91682087  0.91682087  0.91682087
  0.19753086  0.19753086  0.19753086  0.19753086  0.19753086  0.19753086
  0.19753086  0.19753086  0.99239909  0.99239909  0.99239909  0.99239909
  0.19753086  0.19753086  0.19753086  0.19753086  0.19753086  0.19753086
  0.19753086  0.19753086  0.99269305  0.99269305  0.99269305  0.99269305
  0.19753086  0.19753086  0.19753086  0.19753086  0.19753086  0.19753086
  0.19753086  0.19753086  0.99350432  0.99350432  0.99350432  0.99350432
  0.19753086  0.19753086  0.19753086  0.19753086  0.19753086  0.19753086
  0.19753086  0.19753086  0.99364651  0.99364651  0.99364651  0.99364651
  0.19753086  0.19753086  0.19753086  0.19753086  0.19753086  0.19753086
  0.19753086  0.19753086  0.99390686  0.99390686  0.99390686  0.99390686
  0.19753086  0.19753086  0.19753086  0.19753086  0.19753086  0.19753086
  0.19753086  0.19753086  0.99390686  0.99390686  0.99390686  0.99390686
  0.19753086  0.19753086  0.19753086  0.19753086  0.19753086  0.19753086
  0.19753086  0.19753086  0.99390686  0.99390686  0.99390686  0.99390686
  0.19753086  0.19753086  0.19753086  0.19753086  0.19753086  0.19753086
  0.19753086  0.19753086  0.99390686  0.99390686  0.99390686  0.99390686]"
7,split1_train_score,"[ 0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.91481498  0.91481498  0.91481498  0.91481498
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.99372298  0.99372298  0.99372298  0.99372298
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.99401731  0.99401731  0.99401731  0.99401731
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.99437615  0.99437615  0.99437615  0.99437615
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.99437615  0.99437615  0.99437615  0.99437615
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.99452799  0.99452799  0.99452799  0.99452799
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.99452799  0.99452799  0.99452799  0.99452799
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.99452799  0.99452799  0.99452799  0.99452799
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.99452799  0.99452799  0.99452799  0.99452799]"
8,split2_train_score,"[ 0.19749612  0.19749612  0.19749612  0.19749612  0.19749612  0.19749612
  0.19749612  0.19749612  0.91746296  0.91746296  0.91746296  0.91746296
  0.19749612  0.19749612  0.19749612  0.19749612  0.19749612  0.19749612
  0.19749612  0.19749612  0.9928511   0.9928511   0.9928511   0.9928511
  0.19749612  0.19749612  0.19749612  0.19749612  0.19749612  0.19749612
  0.19749612  0.19749612  0.99306928  0.99306928  0.99306928  0.99306928
  0.19749612  0.19749612  0.19749612  0.19749612  0.19749612  0.19749612
  0.19749612  0.19749612  0.99332017  0.99332017  0.99332017  0.99332017
  0.19749612  0.19749612  0.19749612  0.19749612  0.19749612  0.19749612
  0.19749612  0.19749612  0.99332017  0.99332017  0.99332017  0.99332017
  0.19749612  0.19749612  0.19749612  0.19749612  0.19749612  0.19749612
  0.19749612  0.19749612  0.993429    0.993429    0.993429    0.993429
  0.19749612  0.19749612  0.19749612  0.19749612  0.19749612  0.19749612
  0.19749612  0.19749612  0.99353782  0.99353782  0.99353782  0.99353782
  0.19749612  0.19749612  0.19749612  0.19749612  0.19749612  0.19749612
  0.19749612  0.19749612  0.99353853  0.99353853  0.99353853  0.99353853
  0.19749612  0.19749612  0.19749612  0.19749612  0.19749612  0.19749612
  0.19749612  0.19749612  0.99368719  0.99368719  0.99368719  0.99368719]"
9,mean_train_score,"[ 0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.91636627  0.91636627  0.91636627  0.91636627
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.99299106  0.99299106  0.99299106  0.99299106
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.99325988  0.99325988  0.99325988  0.99325988
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.99373355  0.99373355  0.99373355  0.99373355
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.99378094  0.99378094  0.99378094  0.99378094
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.99395462  0.99395462  0.99395462  0.99395462
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.99399089  0.99399089  0.99399089  0.99399089
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.99399113  0.99399113  0.99399113  0.99399113
  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349  0.19751349
  0.19751349  0.19751349  0.99404068  0.99404068  0.99404068  0.99404068]"
